"","municipality","code","DP","state","year","eb_ntp","eb_nmr","eb_ndvr","eb_npir","eb_nubr","nimr","Litr","nmpr","nmrpr"
"169","Cucutilla",54223,54,"Norte de Santander",2003,9998.71167188415,9980.78842392514,NA,NA,94.4528017100963,NA,NA,NA,NA
"170","Cumaral",50226,50,"Meta",2003,9998.17878065321,9987.18550527292,NA,NA,96.1390500283709,NA,NA,NA,NA
"171","Cumaribo",99773,99,"Vichada",2003,9999.86807963905,9999.82128754776,NA,NA,92.5207756232687,NA,NA,NA,NA
"172","Cunday",73226,73,"Tolima",2003,9999.27798126863,9997.41310182222,NA,NA,94.7417806655887,NA,NA,NA,NA
"173","Dabeiba",5234,5,"Antioquia",2003,9999.33575829729,9991.73921093471,NA,NA,92.3328181111152,NA,NA,NA,NA
"174","Dagua",76233,76,"Valle del Cauca",2003,9988.17928445391,9983.33806634788,NA,NA,92.5863798575822,NA,NA,NA,NA
"175","Dibulla",44090,44,"La Guajira",2003,9999.09257261045,9992.13755985929,NA,NA,91.9588959317983,NA,NA,NA,NA
"176","Dolores",73236,73,"Tolima",2003,9999.1714725315,9983.37030227976,NA,NA,95.3856731505463,NA,NA,NA,NA
"177","Dosquebradas",66170,66,"Risaralda",2003,9993.6706849845,9991.58379607533,NA,NA,93.0643127364439,NA,NA,NA,NA
"178","Durania",54239,54,"Norte de Santander",2003,9997.88052348929,9993.41525243153,NA,NA,93.6450974176026,NA,NA,NA,NA
"179","Santana",15686,15,"Boyacá",2003,9999.33464699711,9998.38526990432,NA,NA,93.0771289241993,NA,NA,NA,NA
"180","Titiribí",5809,5,"Antioquia",2003,9995.15939481273,9992.28707552198,NA,NA,91.4240134108795,NA,NA,NA,NA
"181","Mongua",15464,15,"Boyacá",2003,9999.15930952706,9997.88441027846,NA,NA,90.754099076417,NA,NA,NA,NA
"182","Yalí",5885,5,"Antioquia",2003,9991.80088438068,9992.14157070469,NA,NA,91.9735067371741,NA,NA,NA,NA
"183","Vegachí",5858,5,"Antioquia",2003,9992.0160775062,9991.57976273767,NA,NA,92.6311938857913,NA,NA,NA,NA
"184","Pueblo Nuevo",23570,23,"Córdoba",2003,9999.58884066539,9998.94243159013,NA,NA,92.7454639824186,NA,NA,NA,NA
"185","San Andrés de Tumaco",52835,52,"Nariño",2003,9999.90618301693,9993.04735611896,NA,NA,92.7120141604699,NA,NA,NA,NA
"186","Jardín",5364,5,"Antioquia",2003,9992.15222202247,9993.51239973736,NA,NA,92.1675948378128,NA,NA,NA,NA
"187","Arbeláez",25053,25,"Cundinamarca",2003,9999.10536720751,9999.61768811461,NA,NA,92.4795806512452,NA,NA,NA,NA
"188","Riofrío",76616,76,"Valle del Cauca",2003,9994.67156095832,9991.18640693748,NA,NA,92.5863798575822,NA,NA,NA,NA
"189","Villagómez",25871,25,"Cundinamarca",2003,9996.42621357323,9986.40493685406,NA,NA,90.521720794815,NA,NA,NA,NA
"190","Supatá",25777,25,"Cundinamarca",2003,9996.41208394038,9994.23908115845,NA,NA,91.5425821815617,NA,NA,NA,NA
"191","Santa Catalina",13673,13,"Bolívar",2003,9993.37002001238,9996.02163358488,NA,NA,92.5207271410565,NA,NA,NA,NA
"192","Mutatá",5480,5,"Antioquia",2003,9999.02980677148,9987.35060466988,NA,NA,92.5802982420399,NA,NA,NA,NA
"193","Guavatá",68324,68,"Santander",2003,9998.1234074763,9996.17120545244,NA,NA,93.0415732125676,NA,NA,NA,NA
"194","Facatativá",25269,25,"Cundinamarca",2003,9981.03215398525,9996.95319872223,NA,NA,89.1081873873639,NA,NA,NA,NA
"195","Puerto Rico",18592,18,"Caquetá",2003,9999.77761020247,9982.35459367141,NA,NA,95.1345598297096,NA,NA,NA,NA
"196","Nóvita",27491,27,"Chocó",2003,9994.92060796558,9999.20895356137,NA,NA,89.7251842483597,NA,NA,NA,NA
"197","Manatí",8436,8,"Atlántico",2003,9996.11769001883,9996.46168617553,NA,NA,93.3319429484819,NA,NA,NA,NA
"198","Nariño",52480,52,"Nariño",2003,9993.85858839088,9997.46101756451,NA,NA,92.7120142463073,NA,NA,NA,NA
"199","Santa Rosa de Viterbo",15693,15,"Boyacá",2003,9998.9534982061,9998.29014310238,NA,NA,91.087056155619,NA,NA,NA,NA
"200","Achí",13006,13,"Bolívar",2003,9999.45345288475,9998.19051033952,NA,NA,91.9576459439857,NA,NA,NA,NA
"201","Potosí",52560,52,"Nariño",2003,9999.02891073302,9997.60427856944,NA,NA,92.7392467863237,NA,NA,NA,NA
"202","Santa Bárbara",5679,5,"Antioquia",2003,9995.99162254274,9989.05640694351,NA,NA,91.593082622221,NA,NA,NA,NA
